,favorites,retweets,tweets
249,630,52,@TaikaWaititi Ppl say I’m sarcastic or hyperbolic re: Ragnarock. But I mulled when I’d felt like that in a theater… https://t.co/eK124mzVcL
250,715,13,@lorrainecink So what’s the pitch?
251,1025,114,So Excitied @jk_rowling finally revealed the sequel’s title! Much darker turn. I approve. https://t.co/vU7sh61FNw
252,9755,1892,"Here’s the thing: @TaikaWaititi has made a modern masterpiece. Epic, hilarious, gorgeous, heartfelt, and hilarious.… https://t.co/aDoktyPqUO"
253,3587,307,Happy birthday HILLARY! We elected you president but I think it got lost in the mail
254,58,1,@TahmohPenikett @Telegraph Ha! NEVAH! (Rings shame bell)
255,135,18,Keen insight into why what I love is so loveable! Thanks @AlyssaRosenberg https://t.co/6LhYwrWNXg
256,1029,60,I got to meet him when he first came to  America to promote The Replacement Killers. He spoke little English. I spo… https://t.co/OI3GerFTeG
257,425,52,"1960 Man: I tried to read a dirty book to get off and I... instead I got... woke
Doctor: What is “woke”?
1960 Man:… https://t.co/WwpW2dbkYh"
258,141,18,Scaaary.... @HaleyMancini’s dead-on Jodie-Foster-doing-southern will chiilll your very booones... #hannibal… https://t.co/VG6UTED4Zf
259,61,0,"@nowitsalex We combine them to make The Tom Brardy, impossibly beautiful and just the worst"
260,12,0,@shelbyfero And don’t get me started on Indy and Marion
261,111,6,@shelbyfero Back to future ends with the girlfriend in the car and I’m all yay and then in the next movie she’s rec… https://t.co/IWER6aRKy3
262,1674,209,"Somebody knight this man 

@telegraph https://t.co/TxGi9PmDUv"
263,7,0,"@nowitsalex Great emancipator is on the five, college girl - that’s right u passed up a FORTUNE"
264,52,0,"@DanaSchwartzzz @JamesGunn Guys, he HUNG IT IN HIS PLANE.😂"
265,44,0,@JaneEspenson @emilynussbaum So. Beautifully. Directed.
266,172,1,@_ElizabethMay THANK YOU! Plus they limited me to 50 but I can sti
267,100,1,@nowitsalex I hear ya! But has anybody tried to BRIBE you into watching it? Got a nice crisp bill with a picture of… https://t.co/H0nX2FAdyQ
268,471,44,"Haven’t seen it, but the phrase “an actor who delivers every line of dialogue with his entire face” wins movie revi… https://t.co/pDa3NQjIiM"
269,1029,146,"A small, perfect moment. The Good Place is the best forking place #TheGoodPlace https://t.co/3DfcOfD31b"
270,2,0,@libby_deleon @Dodgers @DennysDiner It so on
271,12,1,@libby_deleon @Dodgers @DennysDiner u r a dork 🤖
272,1055,148,I want to go to there https://t.co/KXgxhKevO7
273,38,1,@summerbrennan I think there’s a Hemingway story? From when twitter bumped him to 12 words
274,405,2,"@pattonoswalt There was also a foppish arm flourish, just btw"
275,2264,104,"Nothing this funny should be this sane. @pattonoswalt, in the worst of times, brings actual cheer. Cheers.… https://t.co/ExWV8Qdzfb"
276,1665,164,"We know, sweetie. It's not technically over till you divorce him. https://t.co/W13vYQqgil"
277,67,0,@OnlyInBOS Mmmmmm
278,458,104,"This is fun, when different horrible policies come together to squeeze helpless people in a vise of #MAGA https://t.co/ncxhryxTDO"
279,151,3,"@TaranKillam @CobieSmulders Not even ""spooktacular""? I'm pretty sure that one should do it, I mean think it through"
280,66,2,"@jennifercochis Fantasy #2:
HIM-Jen, I can't make it to work
-Why?
-This new Matriarchy -
-Suck it up, son. These p… https://t.co/pW3Ssi9jvf"
281,387,18,"@LibyaLiberty I want to find joy, but all I see is the SHAME of someone who won't turn their phone sideways for the… https://t.co/Ppxu8JMiwT"
282,2290,388,"Racism, misogyny, war on poor, war on press, possibly actual war, some good puns.

Now u don't NEED Friday twitter.

#WomenBoycottTwitter"
283,484,36,"Wait, you're WHAT?!?!

😍😍😍 and as always 😍 https://t.co/bCYsSzErcw"
284,546,56,"Melania's book titles:

12 Years a Slave Leia
The Devil Wears Men's Wearhouse
Next Wife Please Hurry
Melania Trump:… https://t.co/33ZQYjhPWu"
285,1878,375,#artsandcrafts #tikinacht #replaceable #schmucks https://t.co/edelun57dw
286,480,46,"What, are they gonna lose votes? Get a job. https://t.co/7to9RlSUms"
287,145,3,@jennifercochis What you don't understand as a woman is that men are MORE RATIONAL IM TWEETING GODDAMNIT PAY ATTENTION #ally
288,225,3,"@smickable ""We have to talk"" is on the list tho"
289,3462,838,"Today? TODAY, you motherfuckers? https://t.co/KeuSwU9flo"
290,5562,1123,"Law was INVENTED to stop murder.  Our government was CREATED to represent &amp; safeguard the people. Don't ""politicize"" this? Nice fucking try."
291,2673,874,"Today we mourn for Las Vegas, tomorrow we fight for them.
Join the movement to end gun violence: Text ACT to 64433. https://t.co/3Tjiv1N7cx"
292,568,44,"for true the best part of this trumpster fire is the guy who thought ""I'll go for the author's book jacket photo"" https://t.co/z1XLOew1ut"
293,5,0,@AnthonyDeVito @lynnbixenspan my face-water broke
294,3774,449,Surrounded by fire. BIG fire. LAKE fire. https://t.co/Gf1SaAaEMK
295,3265,563,All of Nixon's time in hell has been spent hearing what trump was gonna get away with
296,4247,489,"Wait, is it possible Hugh Hefner did good AND bad things? But... But...  *robot head explodes, humans escape from robot hot tub*"
297,86,2,@Nefertizzy @BlackMarvelGirl I'm pretty sure I can take like at most 23% of the people I meet. I think I dress accordingly
298,365,70,There's clarity in this. Almost comfort. Jk we're the fire cafe dog https://t.co/smYnzZOk5b
299,3382,533,I really like Amal's husband https://t.co/662YHI6di7
300,91,2,"@michaelianblack Bro, mine has original artwork. No competition. Bro."
301,596,34,@michaelianblack I... I thought I was special... https://t.co/Evzp63xTQ8
302,847,67,Why aren't more people talking about the Jews conspiring to make tasty restorative soup
303,768,49,"For me, Harry Dean Stanton was at peak Stanton in The Missouri Breaks. Underrated film and he quietly OWNS"
304,1502,180,"Never a dull moment. 
Can't imagine telling him to rest. https://t.co/N2gpgKGBeV"
305,1442,190,Down here... we all vote https://t.co/I05UdijaRv
306,594,55,"In the future, everyone will play Winston Churchill for 15 minutes"
307,1604,88,"I don't have a political pun or anything, I'm just really glad @alexisbledel got this https://t.co/sszQa2b4rn"
308,48,1,"@JaneEspenson @politico ""You have cancer. Go find an egg."""
309,4725,1731,Co-created Wolverine &amp; the new X-men. Co-kickstarted the modern comic book era with its most powerful metaphor. And… https://t.co/Fn2BaH4zCP
310,430,3,@JaneEspenson You have to be specific! I read it wrong and tried sprinting for an hour. Please donate my legs to science
311,2494,474,"Trump has made it clear: in order for the nation to heel, he will continue to prey #DefendDACA #DayOfPrayer"
312,335,34,"Charlie Freak, Home At Last, Third World Man, Reelin' in the Years, Haitian Divorce, Pretzel Logic... can't choose a fave. #RIPWalterBecker"
313,1515,173,"So, wake me up in a month I guess"
314,33,1,@zoeinthecities v cool self portrait also
315,1143,185,#Kirby100 https://t.co/TQl0AHaRuf
316,219,5,"@JaneEspenson @ambertamblyn I happen to BE a lonesome polecat, so this really speaks to me"
317,1559,242,Cool that the Turd Reich has identified the white race's true enemy: UV rays https://t.co/9qvI6HVzY9
318,745,109,"SAAARahhh, you ruuuuuuined it!  But yes, I like Bannon at brietbart even less than in the WH https://t.co/zvvPTIo5xj"
319,12690,2404,Getting Bannon out of the White House won't solve the problem. Neither will one sip of water in the desert but thank you yes I'll drink that
320,405,53,This footage of Bannon leaving office is a delight: https://t.co/JEtUDfWA0J
321,2533,330,"Every modern republican president has been another step down from Nixon. From NIXON. Damn. 

(Don't start about Reagan. He was a vile fuck.)"
322,6940,1433,"That's neat @SpeakerRyan, but until you act to impeach him you're just a l'il brownshirt with a nose to match https://t.co/wZZJTptJH7"
323,98,1,@meakoopa STOP GIVING ME COOL BAND NAMES MY BAND WILL BE VERY BAD
324,9345,1611,"I think Trump definitely read biographies of Hitler and Mussolini, but that he maybe didnt get to the end."
325,20,1,@lorrainecink Now in Latin!
326,892,211,This White House staff meeting is kind of intense https://t.co/op0aSLn5HA
327,11,0,@emilynussbaum Cor blimey!
328,15810,3079,"How hilarious would it be if every person shouting ""we will not be replaced"" got to their jobs Monday and, well..."
329,23300,6328,"INDIANA JONES
(looks down and sees:)
""Nazis.""
(to Elsa)
""Let's hear their side, I mean I've been violent too, and that economic insecurity"
330,5478,1621,"The U.S. president is afraid to anger Nazis. And Russians. To be fair, they ARE the people who elected him #maga #manysides #manchurian"
331,6404,1854,"NAZIS: we are nazis, definitely nazis beating people up, hate crimes right here

TRUMP TWEET: some things might be bad sort of, like clouds"
332,17244,4795,"When Trump threatens N. Korea he's threatening N. Koreans. With genocide. @twitter, DELETE HIS ACCOUNT. It's literally the least you can do."
333,17,0,@aprilglick I have like 5
334,238,1,@aprilglick Is it me? It's me - no don't tell me! But...
335,13,0,@Ruby_Stevens The original Room Where It Happened 😍
336,4,0,@talltate Oh my god you squished a border collie with your head! Probs real comfy tho
337,2051,368,Manhattan Right After You've Become Attached To Them https://t.co/dg9WXm9YdG
338,503,14,@aparnapkin ....mom?
339,11,0,"@aedison Well if I can make it on twitter, next stop hollywoodland!"
340,11,0,@Manglewood boo that plant
341,3,0,@DanaSchwartzzz Honestly I'll never forget it. Bonus medieval town right next to it also.
342,2,0,@talltate That's one daisy tops then he either loves me or I can get back to work
343,22,0,"@DLChamplin Um... yours is slightly cooler

I'M COOL TOO THO *smokes cigarette while drag racing*"
344,171,9,"@miss_print A little Princess
Dombey &amp; Son
The Secret History
Lolita
Dune"
345,19,0,@talltate That's so nice! I'd have worked more.
346,20,1,"@DanaSchwartzzz Carrières de lumières in Les Beaux-de-Provence! Breathtaking, as in I stopped breathing in order to… https://t.co/6oUySs357J"
347,4036,755,"History will remember @realDonaldTrump as the most evil, corrupt shit-dribble in U.S history. It will remember us as ""among the dead"" #maga"
348,3,0,"@_ElizabethMay Cold, M. Just cold. (Actually i never heard them so maybe?)"
349,21,1,@_ElizabethMay Can't stress enuf how there's no glittery spandex in my shitty rock band. Only accomplished musician… https://t.co/RXHji6XTky
350,29,0,"@_ElizabethMay Both, but also: current mood. (Possible I might call the band Current Mood)"
351,56,2,@_ElizabethMay Usually it'd be some dope pun or cool reference name but right now probably KLENCHT
352,2201,237,Not to panic u but our chances of survival are inversely proportional to the intensity of my urge to start a shitty rock band and guess what
353,8,0,"@DLChamplin Mine was in LA, the Mostly Sondheim tour"
354,516,53,"Last time I saw Barbara Cook, she encored w/Anyone Can Whistle - &amp; w/out a mic. She was 75. A voice w/out equal. Re… https://t.co/9kI1H5O7Dl"
355,86,3,@TheMarySue Teri Garr as Sgt. Phillis Norton on McCloud https://t.co/3JLWLqyHGf
356,2714,231,"Sweetie, if you don't sign it how can I be sure I didn't write it in my sleep? https://t.co/pGtRkJxTYr"
357,638,201,Yup. Thread. Yup. Worth it. https://t.co/5DsNbaxsVc
358,48,2,@HaleyMancini That's a perfect New Yorker cover
359,112,2,@MJMcKean @_amckean He was my only choice back when Nicholson got it! Thank you!
360,3308,431,"Everyone's joking about all the backstabbing in the White House, but nobody's giving them credit for their frontstabbing"
361,11,2,@_ElizabethMay @ERACoalition Only available at the finest grocery checkout
362,783,138,Join me and my BFFs Dorothy &amp; Gloria in supporting #EqualRightsNow with a sweet @ERACoalition tee from… https://t.co/Lxn7gcytno
363,533,43,"Fuckin' A, eh. https://t.co/OtJmKlCZtk"
364,54,0,@_ElizabethMay I sleep poorly. Could you read it aloud?
365,1199,139,November 9th is America's Groundhog Day
366,261,74,"Feels like time to dust this one off - innocent laffs from @KeeganMKey @EnverGjokaj &amp; @vornietom 

https://t.co/RWOrBGlpu4 via @youtube"
367,7,0,@lurie_john '''Tis not
368,8,1,"@lurie_john Judicious ""t'was"" use is delightful. I cite Craig Robinson on Brooklyn 99 - but then I would"
369,22,0,"@lurie_john No, I honestly think it had to be O'toole. Finney's too sane."
370,15,0,@lurie_john T'was very nearly Finney... https://t.co/0t2JNKocM6
371,4292,1464,Thinking about the girl that got away...  little bit more than 140's worth. #MadamPresident https://t.co/Zgm8TiFRlh
372,1575,177,"Remember the movie, where Steve Zahn was in the movie, but then Steve Zahn didn't steal the whole movie? I also don… https://t.co/kEbA4HrpZi"
373,19,1,@jessesingal Whit Stillman movies
374,7623,1166,Spicey didn't resign cuz lying to reporters for a corrupt president was morally or legally wrong. He just wasn't very good at it. Fuck him.
375,1252,158,"🎵🎶
IF you think I'm sexy
AND you want my body
JUST reach out and take this coupon from LensCrafters, 2nd pair is free"
376,71,3,@MJMcKean This absolutely wins all
377,17213,4186,"""A Thousand Suns"" got me through a horribly dark time. I'm indebted. Thank you and RIP Chester Bennington, wish you were here"
378,36,2,@lorrainecink I won't tell Robot
379,2414,488,"Crimes &amp; Misdemeanors - these two as brothers, perfect. And the single take scene w/Angelica Huston in her apartmen… https://t.co/7SvuVPrxEb"
380,71,1,@MarkHarrisNYC The new ones still had insight and bite as well - he was just miles ahead of the rest of us
381,2849,701,No one mined the zombie metaphor like Romero. (After he invented it.) No one has come close. RIP &amp; thank you to a G… https://t.co/Z21CGbvFdG
382,9482,1573,I'm absolutely for progress and inclusiveness but it is fair to worry when almost every ep of Doctor Who revolved around his big ol' dick
383,16,0,"@NaomiAllthenews Well I think you did something useful. Important, in fact. I'm changed by it. (And I'm old, change don't come easy)."
384,32,1,"@NaomiAllthenews ...........yay?.........

It's magnificent. I'm a agog. Really, I'm several gogs. So smart and scary and sad but true"
385,103,3,@rikilindhome @davidwain @TheVulcanSalute George' minimalist reinterpretation perfectly caps this stellar productio… https://t.co/Jls2NmEFEY
386,782,79,o shit o wow https://t.co/sWU9TXoCNN
387,1424,153,Soho. With the Proud Crowd. #PrideInLondon https://t.co/4uaDw9W6E2
388,487,44,"Absolutely can confirm this thread true. Also that many man is babies, cry tears when startled/hunger https://t.co/JCF8uIJFG6"
389,37,0,@rikilindhome Ooh I can't WAIT
390,2300,368,"Two pints of Sam Adams but I'm working on three...
https://t.co/wtwH2iC6ii 
@rikilindhome
#Ham4All https://t.co/fJZL1dziS3"
391,13180,1453,"Just got called a ""mega cuck"" in my replies and NICE TRY, the correct term is cucknado"
392,1639,234,We celebrate declaring independence from a spoilt unhinged despot today cuz of all the days &amp; years &amp; horrors we went thru to GET it #resist
393,1233,232,"No one ❤️s our obsession w/the news-wrestling twitter troll more than Yertle the Turd, who'll quietly kill millions… https://t.co/5QmCyzH5Bx"
394,992,97,"Wisdom is better than silver or gold? Are you HIGH?

Bob Marley: I'm literally Bob Marley"
395,294,39,So proud to be celebrating another #Heterokayjustthisonce day
396,330,6,"@JaneEspenson @mattklewis Ugh - you own owning, Espey"
397,2664,930,A terrorist recruitment video the whole FAMILY can watch! https://t.co/oD5hmu1vrk
398,78,4,@martinoxon Fake? Nevah! Tally ho pip pip bugger me scones etc
399,246,15,"My @CinemaPtweeto list:

Matewan
Odd Man Out
Vera Drake
I Walked with a Zombie
Empire of the Sun"
400,484,66,Good read. Great woman. @martinoxon https://t.co/VE2Doo97nJ
401,265,21,@Home_Halfway I got mugged by a guy who gave my money back cuz I only had 27 cents
402,1698,213,I'm very sad about Han Solo. But this is so good https://t.co/WGyoH61qaB
403,369,49,"""I Saw A Movie &amp; Neither Laughed Nor Cried - the incredible true story of me lying"" Thank you Marti for TO THE BONE

https://t.co/QdL9AyvRpX"
404,815,123,"This HAS to be titled ""not now I'm writing"" https://t.co/ZmmKjPLBTc"
405,129,1,@BBW_BFF My review reads: witness is my favorite movie BECAUSE someone drowns in a fuckload of corn #actionplustheme
406,711,82,"Trump will never go to prison? Probably.
On the bright side, he's never been anywhere ELSE. https://t.co/EFKpyB7bwZ"
407,8079,940,"I feel strongly that when trump goes to prison he should have to sport the old-timey, black &amp; white striped look"
408,30,0,@HaleyMancini That explains a great deal (all of it good)
409,1161,204,twen tytwen ty #strongwomencharacters https://t.co/Z2dbVybBTy
410,200,9,@aedison Have never said it. Never. Physically can't. Cuz acid reflux
411,1036,75,I get more joy from this idiot than I do from way more impressive idiots https://t.co/VgjtQH3EWD
412,842,87,"A great performance (and weirdly perfect casting) as Peter Weller's dad in michael Tolkin's underrated ""The New Age… https://t.co/xfhAPoGwc1"
413,1101,387,"READ
THIS https://t.co/7mBaQRTHEy"
414,4264,507,Yep. Yep yep yep https://t.co/VsnUICMibC
415,7003,1218,"Theresa can stuff it
*Teacher glares at me*
Sorry. Theresa MAY stuff it"
416,4,0,@TriciaLockwood for he is the Überewok
417,63,2,@primawesome THIS IS THE WORLD'S FINEST TWEET
418,57465,13516,"I got to see Wonder Woman by myself weeks ago so shut up there's already been a man-only screening. 
 
Oh and it's… https://t.co/ZFXqt4dpej"
419,98,2,@HaleyMancini This breaks my heart. Fucken men... Also I was so close to finishing my statue of a tapeworm to put inside the pug
420,89,3,@jonnysun @Lin_Manuel @pattonoswalt I'm yr BEST friend. Patton &amp; Lin Manuel said u can't sit with them cuz boys won… https://t.co/OCIG0iE8ZO
421,145,4,@nsilverberg I finished a solo dinner at a little Italian restaurant and the woman who ran it gave me a bottle of o… https://t.co/7WIMFhKpfG
422,51,3,"@aprilglick Yes. But Trudeau is still Kevin Kline in ""Dave"""
423,18,0,@ameliargh @charlubby I'm a Goblet of Fire man m'self
424,41,0,@zoeinthecities @rexparker Read that last one QUITE young - oh the gems neglectful 70's parents leave lying around
425,223,6,@DanaSchwartzzz I thought it would be cool in the book if they had a kid but were divorced. Also If Dudley showed up with a wizard kid
426,37,0,"@Manglewood FvJ not terrible, too. I had that with The Descent."
427,2134,147,I miss Gene Hackman
428,66,1,"@ValeeGrrl @TragicAllyHere Wait....

.....mom?"
429,1219,259,"Deathlok was true subversive 70's sci-fi  and quite a good looking boy. R.I.P. Rich Buckler, one of my early Marvel… https://t.co/a2jMnMwdkZ"
430,7,0,@nowitsalex More like #THEcamp #flogging #candy
431,17,2,@GeekGirlAuth Nailed it with Loki
432,27,0,@zoeinthecities I was there! Little Women is a perfect movie but my shoes have not held up AT ALL
433,15,0,@Ruby_Stevens Best thing I've read all month
434,6545,3015,Planned Parenthood has been around for 100 years. Here’s to fighting for the next 100. Or even not having to.… https://t.co/081LCP8h2e
435,109,4,"@OhNoSheTwitnt ""Tell me that it's okay..."" ""maybe they already have.  Maybe they sent me."" 😍😍😍"
436,24,0,@onlxn That last ep was as good as stuff gets
437,12,1,@MikeDrucker Masterpiece.  Absolute.
438,11,0,@HaleyMancini And armored I assume
439,6601,808,Today I gratefully give my mother the gift of having been dead for 25 years and not having to see what a tub of fuckery our country's become
440,47,3,@MarkHarrisNYC I just laughed like the guy working at medieval times whose whole job is eating fowl and laughing up… https://t.co/QeHLIawC97
441,24,2,"@gabydunn @nowitsalex @AllisonRaskin The honor is entirely mine. Or Alex, you can have the honor and I'll take the… https://t.co/ueeBrasfZR"
442,32,0,@nowitsalex @gabydunn @AllisonRaskin Alex not everything is about stealing the Declaration of Independence! Some th… https://t.co/0VomHjDJz3
443,59,7,@meakoopa Yup. Four. (But they should have given Megan Follows a shout out - what a talent. Loved watching her reign on Reign.)
444,10183,2653,We don't need a special prosecutor. We need an Auror. @jk_rowling
445,119,15,"@CNN ""Once you get 'em on the dole, they'll take every dime they can.""

Come to think of it, she did get a mess a'… https://t.co/xXrwaLt6gY"
446,498,174,"I tweeted that https://t.co/6HlOjdmeDJ is working to turn Virginia blue and, hey, please donate or RT cuz THIS was… https://t.co/sOnXdJRIoF"
447,395,148,These guys are the real deal. Please take a minute to see if you can help them blue up the place... https://t.co/3muH6Mk4U0
448,32,2,@vincentdonofrio You won't regret it. It's gorgeous prose.
449,7,0,"@TriciaLockwood @vincentdonofrio And remember, gentle tweeters, BUY THE DAMN BOOK Patricia has THE BEST WORDS, they… https://t.co/ukqaqQYOQ9"
450,3,1,@TriciaLockwood @vincentdonofrio Yes. Yes it fucking is.
451,1,0,"@TriciaLockwood No one, not even the rain..."
452,3,0,"@TriciaLockwood @vincentdonofrio just got sent some good Q's but we're OUT OF TIME - like 2 thank my guest, Patty S… https://t.co/VQ77VgIlhg"
453,1,0,@TriciaLockwood @vincentdonofrio ABSOLUTELY. That man is a treasure. (If it's just him tho I hope he buys more than… https://t.co/ryVcttBN1I
454,1,0,"@TriciaLockwood Ooh I can't wait to hear what she - anyhoo, who would you like to read this that you think won't? C… https://t.co/XXWbMZzILV"
455,0,0,@TriciaLockwood BACK TO THE BOOK how DID the fam react? Did anyone but Jason read it? #PriestdaddyChat
456,11,1,@TriciaLockwood That's beautiful but sometimes I do want to punch the New Yorker in the face #PriestdaddyChat
457,6,0,@TriciaLockwood I sometimes want to shake poems until they make sense to me. How do you balance intent/meaning with… https://t.co/u88rEp0wZJ
458,0,0,@TriciaLockwood But anger in general - the book is very sweet but there's a dark thread  - just wondering if you fi… https://t.co/qh2a4CnB2T
459,3,0,"@TriciaLockwood ""I'm not interested in heaven unless my anger gets to go there too."" (💕) does anger motivate u? Blo… https://t.co/ehpJJfufSC"
460,2,0,"@TriciaLockwood Peeps r asking but u keep from being overtly political or bipartisan, even on twitter. Is that deli… https://t.co/w1gao2nJAu"
461,7,0,@TriciaLockwood Okay you HATE CAKE so we're basically done here but what food do you loooove #literary #PriestdaddyChat
462,4,0,@TriciaLockwood Your prose puts me in mind of Nabokov &amp; E.L. Doctorow - rich like cake. Favorite writers? Favorite… https://t.co/JeqVWQoZeF
463,0,0,@TriciaLockwood Then why? Howcum? Whatfor? #PriestdaddyChat
464,5,0,"@TriciaLockwood Now I'll probably say that and think I made it up, sigh, okay why a memoir? The crazy $$$?"
465,57,10,.@TriciaLockwood Wait I just quoted you? That seems fake.
466,87,10,.@TriciaLockwood You're a poet. Is it safe to assume you spend your time skipping thru a field of daisies in slow m… https://t.co/zV5qqnp7B4
467,54,9,THIS IS GOING SO WELL @TriciaLockwood #PriestdaddyChat #issheasleepyet
468,45,14,.@TriciaLockwood AND the Joel Grey face paint. So how's selling yourself? I MEAN PROMOTING. Fun? Weird? #PriestdaddyChat
469,87,17,Okay! Chat time! @TriciaLockwood Who are you wearing? NO WAIT - describe yr (extraordinary) book to noobs. Short version. #PriestdaddyChat
470,102,17,15 minutes till I enter the MIND OF A MONSTER @TriciaLockwood @joss #PriestdaddyChat #monster https://t.co/sNkh1xkyWs
471,73,20,"In 40 minutes: @TriciaLockwood ! @joss ! TWO WRITERS ENTER, ONE WRITER LEAVES. #PriestdaddyChat !
It's memoirRIFFIC! https://t.co/tzTT9fXjRY"
472,2187,748,Tossing this teeny opus out there again cuz I'm reminded lately that the GOP is a horror and Chris Pine is a joy https://t.co/js2P1H6j7H
473,1379,280,me today https://t.co/jFDfXYHUvu
474,1463,170,My so-called tolerance left.
475,194,40,"Monday at 10: I GRILL Patricia Lockwood about her memoir Preistdaddy. TOUGH questions, like ""where do you get your… https://t.co/93nbiWkMI8"
476,4599,3888,Read this please https://t.co/BIEXlg0wKr
477,672,99,Wish I could be there. Just yelling into my phone instead. #sorrysiri https://t.co/qmBuP3x8BG
478,80,6,@meakoopa It looks like he's throttling someone under the desk - those can't be his hands
479,1987,816,"""They're claiming they'll fix the leaky roof by killing all the people who are getting wet inside."" Exactly. Keep c… https://t.co/MHXXBnZ5XY"
480,25,0,@ErinChack @DanaSchwartzzz  https://t.co/IOPgfnsjrg
481,13,0,@ErinChack @DanaSchwartzzz It's so good - also the inscription is bonkers ☺️
482,531,74,"I think I get polyamory now
@DanaSchwartzzz 
@ErinChack https://t.co/xfOapvmmrh"
483,12,0,@Ruby_Stevens This fortress was not built to keep something........................................................… https://t.co/Y7azInWt8f
484,198,45,This is the best advice. Especially now. #resist #butalsoenjoy https://t.co/5H15b87ad3
485,1849,201,So I tweeted something that inadvertently offended everyone except the people I was trying to offend. I'm sorry. I'll be quiet for a bit.
486,2170,393,#LEGACY https://t.co/jTp8tsg8DU
487,306,61,"I'd forgotten Last Embrace! Demme was our time's Michael Curtiz - did a little of everything, and often did it best. https://t.co/KE4ZNE7bmR"
488,1119,195,"Rapunzel, Rapunzel, let down your supporters by being every bit as soulless and corrupt as your greasy-haired broth… https://t.co/PqntTCgOoA"
489,828,60,A polite request for @timminchin to get his Groundhog Day soundtrack out of my GODDAMN HEAD while I'm trying to write #earworm #seeingyou
490,1957,302,"STOP SAYING ""if Obama/Hillary did this, people would freak"". WE KNOW. They wouldn't. They were politicians AND oppressed. They REPRESENTED."
491,1316,276,WGA: Vote YES on strike auth. Th story of our country can't b th have-alls taking everything from th do-alls. Not when we WRITE the story.
492,5,0,@TriciaLockwood Mmmmm.... some pig....
493,704,51,"2 Young 2 Adult (2018): @pattonoswalt returns as fan fave Freehauf, teaming up with hot but toxic Tyrese Gibson to hurt ppl &amp; not learn much"
494,604,94,"Tom Cotton: he is risen indeed!
*jesus rises*
*tom straight up poops himself*
Jesus: Mr Cotton
TC: I have pooped at… https://t.co/He0ZYK3VUX"
495,80,1,@vornietom British humor is too cerebral for me
496,58,3,@LibyaLiberty *little Canadian voice* soarry
497,707,104,"""Wait, you're treaonously corrupt AND a poor? How is that even -""

TRUMP: SHUT UP, MY TAXES"
498,4375,1274,This was cut from The Shining for being too fucking horrifying https://t.co/7d5C0lZAEQ
499,9,0,"@TriciaLockwood Who would admit they did that? (If did tho it'd be fun: ""she outlined the insurrection telepathical… https://t.co/1FYD5ok3ba"
500,35,1,"@TriciaLockwood I just want to rim a sexbot, slutshame a hula hoop, and dance in the moonlight with Zombie Joan of… https://t.co/cGc1jlSvyS"
501,644,122,"TRUMP: come on, I got enough to knock your ass off its axis. *opens knapsack full of jack after taxes*"
502,38,0,@TriciaLockwood I'm agog. I'm like six gogs.
503,1087,124,"*pushes thru crowd* I OFFER MYSELF AS TONY HOST!
Am bad at public &amp; ""words""- will probs sit in corner chanting BEN PLATT but y not me #tonys"
504,17,3,@Ruby_Stevens Match Point
505,351,139,"He's not just Jenga-ing our government. He's inside us. Yeah, picture that. Laurie penny lays it out: https://t.co/fqA2cE22CA"
506,12808,3404,we have to stop holding each other's beers
507,3516,939,"""For the comfort and safety of the other passengers, please remember we will be resorting to cannibalism BY GROUP NUMBER"" #united"
508,3725,544,"Getting on a United flight this morning. Excited to, I don't know... stay on?"
509,2476,547,Taika Waititi FOR THE WIN https://t.co/F8VzsfC9WO
510,23,2,@cornax Cannot stress the mediocrity of the wines enuf
511,10,0,@BindzBrain You are lifeing wrong if you haven't
512,64,0,"@Manglewood I love writing fake old-timey prose. I'm very proud of ""husband's bulge"". (Can't understand why it didn… https://t.co/hi2YM5xYxK"
513,5890,1201,"No more saying ""Trump became president today."" He became president when we elected him. He's our president. He's our cancer. He's our fault."
514,43,1,@meakoopa Didn't even realize you wrote the piece! Thanks for making me way cooler than I'm pretty sure I was
515,128,11,@MrJonCryer Buffy the Vampire Slayer?
516,834,414,"This is harrowing, and it's where we're headed if we don't unite and act. Please use your #resistance skills to add… https://t.co/T8thD3i8jS"
517,11,2,@MindyFurano Aleister Crowley
518,787,54,@emilynussbaum 1: not much really. 2: how much time do you have?
519,1552,277,No YOUR eyes are wet https://t.co/gGkkWvIrvS
520,22,2,@nsilverberg yep
521,2,0,"@UnFitz @Jenny4ashley VERY BEST THREAD. Response from @vornietom : ""that's great! So many sequitors!"""
522,1453,278,so thankful for this https://t.co/FcGSJB86bq
523,18,0,"@Manglewood I liked this before I realized what you meant, and more after"
524,43,0,@BuzzJim @vornietom Yeah. Keep it real... depressing! #onbrand
525,375,266,Deal with this. https://t.co/6l9B6N5g3l
526,1038,74,.@vornietom Shit. Now I really wanna shoot this.
527,1624,284,"Disney: @vornietom and I have cast your live action HUNCHBACK: 
#yourewelcome #andyouareugly https://t.co/dQNpsIRrct"
528,690,215,"THIS THREAD: important, true, and short. Thanks @kumailn https://t.co/eRhzkf3TmD"
529,1311,285,Yep. Yep yep yep https://t.co/lBEMBcvmS0
530,14,1,@AndrewNadeau0 Stop eating your time with that shit and let's get down to BUSINESS 🎶
531,1344,240,"""I am overwhelmed with pity today""
- Mr T"
532,44,0,@emilynussbaum Ain't no party like a Nussbaum party
533,189,26,@topherflorence Honestly some of my best work
534,21,0,@DanaSchwartzzz That doesn't mean you should stop tho
